Q1,Q2,Q3,Q5,Q32,Q34,Q35,Q44,Q38,Q49,Q51,Q52,Q53,Q67,Q89
2,2,3,1,1,1,2,1,1,1,1,1,1,1,
1,1,5,3,3,1,3,3,1,1,1,1,1,4,
2,2,3,3,1,1,1,1,1,1,1,1,1,4,
2,2,3,1,1,1,,2,1,1,1,1,1,1,
2,1,3,5   1,1,1,,2,1,1,1,1,1,1,
2,2,3,1,1,1,1,3,,1,1,1,1,1,
2,2,3,2,1,,2,2,4,1,1,1,1,1,
2,1,3,3,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,3,
2,1,3,1,3,1,3,1,1,1,1,1,1,4,
2,1,4,1,1,1,,1,1,1,1,1,1,3,
2,2,,23,1,1,,2,2,1,1,1,1,3,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,1,4,3,1,0,1,1,1,1,1,1,1,3,
2,2,4,3,1,1,1,1,1,1,1,1,1,3,
2,1,4,1,3,,1,3,4,2,2,1,2,3,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,1,1,1,1,1,1,1,1,3,
2,1,4,1,1,0,1,2,1,1,1,1,1,1,
2,1,4,1,1,0,1,2,1,1,1,1,1,1,
2,1,4,1,1,0,1,2,1,1,1,1,1,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,,
2,1,4,1,1,1,2,1,1,1,1,1,1,1,
2,1,4,1,2,1,2,2,2,1,1,1,1,3,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,,1,1,,2,1,1,1,1,1,1,
2,1,2,1,2,1,3,2,3,1,1,1,1,3,
2,2,2,3,1,1,1,2,3,1,1,1,1,1,
2,2,2,1,1,1,1,1,1,1,1,1,1,1,
2,2,2,1,2,1,2,2,3,1,1,1,1,1,
2,1,2,1,1,1,,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,,1,2,1,2,2,2,1,1,1,1,1,
2,2,2,1,1,1,2,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,1,,1,1,1,1,1,1,2,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,3,1,2,2,4,1,1,1,1,1,
2,1,2,1,1,1,1,1,1,1,1,1,1,1,
2,1,2,1,3,,2,,3,1,2,2,,,
2,1,2,1,1,0,1,1,1,1,1,1,1,2,
2,1,2,1,1,1,1,2,1,1,1,1,1,1,
2,1,2,1,1,1,1,1,1,1,1,1,1,1,
2,2,2,1,1,1,,1,4,1,1,1,1,3,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,5,1,1,1,1,1,1,1,1,1,1,
2,1,2,1,2,1,2,,2,1,1,1,1,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,2,1,1,,1,,2,1,2,2,2,
2,2,4,1,1,0,1,1,1,1,1,1,1,1,
3,2,4,1,1,1,1,1,1,1,1,1,1,4,
2,2,3,3,3,1,2,,,2,,,,,
2,1,3,1,1,1,2,2,3,1,1,1,1,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
3,1,4,2,2,,,2,1,2,1,1,1,1,
3,2,1,1,3,,3,1,1,,2,1,,,
2,1,3,3,1,1,,1,1,1,1,1,1,1,
2,2,3,1,1,,,,,1,1,2,1,1,
2,2,3,5,2,,,3,,,,,,1,
3,2,4,4,1,0,1,1,1,1,1,1,1,1,
3,2,4,3,1,,,,,2,1,2,1,1,
2,1,4,1,1,1,1,,,1,2,2,2,2,
2,2,,3,3,,2,2,1,2,1,2,2,1,
2,2,,3,2,1,2,,1,2,1,2,1,2,
2,2,3,,2,1,2,2,2,2,1,1,,1,
2,2,2,,2,,,1,1,1,1,1,1,1,
3,2,4,3,2,1,2,2,,,2,2,2,4,
2,2,4,1,2,,,2,,1,2,2,2,3,
2,2,2,1,1,,3,,1,2,2,2,2,1,
1,1,1,5,1,1,1,2,3,2,2,2,1,1,
2,2,3,2,2,,2,2,,2,2,1,2,3,
2,2,3,3,2,,,2,1,2,1,2,1,2,
2,2,4,1,1,1,1,1,1,1,1,1,1,1,
1,1,2,1,2,,2,2,,2,2,2,2,,
2,,5,4,1,,,1,,2,1,2,2,3,
1,2,3,3,2,,1,1,,2,1,2,2,3,
2,2,2,1,2,,,2,3,2,2,2,2,2,
1,,4,4,2,,2,2,,2,1,2,2,3,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,1,4,3,1,1,2,1,2,1,1,1,1,1,
2,2,4,3,1,1,1,1,2,1,1,1,1,1,
3,1,4,1,1,1,,1,1,1,1,1,1,1,
2,1,4,3,1,1,2,1,1,1,1,1,1,4,
2,2,4,3 1,2,1,2,2,3,1,1,1,1,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,1,1,1,2,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,2  1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,1,2,2,3,1,1,1,2,1,
2,2,4,5   1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,1,,2,1,1,1,1,2,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,1,2,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,4,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,1,1,1,1,1,1,1,1,4,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,2,1,2,3,4,2,1,1,1,1,
1,1,1,5,1,1,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,1,2,2,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,,,2,1,1,1,1,1,,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,2,
2,1,1,1,1,1,2,2,2,1,1,1,1,1,
2,2,1,1,1,1,2,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,,,,,,,,
2,1,1,3,1,0,1,,,,,,,,
2,1,1,1,1,1,2,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,4,
2,2,1,3,1,0,1,1,1,1,1,1,1,,
2,1,1,1,1,0,1,1,,,,,,,
2,1,1,,1,0,1,1,1,1,1,1,1,1,
2,2,1,3,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,1,2,3,1,1,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,,1,2,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,3,1,0,1,1,1,1,1,1,1,1,
2,1,2,2  1,1,1,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,1,1,1,1,1,1,1,1,
2,2,3,1,1,1,1,1,4,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,1,1,1,1,1,1,1,1,
2,2,4,1,1,0,1,1,3,1,1,1,1,1,
2,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,,,1,1,1,1,
2,1,3,1,1,1,,2,2,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,1,1,2,1,1,1,1,1,1,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,1,3,2,3,1,1,1,1,1,
2,1,3,1,1,1,2,2,3,1,1,1,1,1,
2,1,3,1,1,1,2,2,1,1,1,1,1,1,
2,1,3,1,1,1,2,1,2,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,3,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,2,1,2,2,1,1,1,1,1,1,
2,2,2,1,1,1,1,1,1,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,2,1,2,3,4,2,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,1,1,3,2,3,1,1,1,1,1,
2,1,3,1,1,0,1,3,1,1,1,1,1,1,
2,1,2,4,1,0,1,1,1,1,1,1,1,1,
2,1,3,3,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,0,1,1,2,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,2,1,2,3,4,2,1,1,1,1,
2,1,2,3,1,1,1,1,1,1,1,1,1,3,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,,2,2,1,1,1,1,4,
2,2,4,1,1,1,2,1,1,1,1,1,1,1,
2,2,2,3 1,1,1,1,1,1,,1,1,1,1,
2,2,3,1,1,1,2,2,1,1,1,1,1,1,
2,2,3,5,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,2,1,2,,3,2,2,2,2,3,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,1,2,2,3,1,1,1,1,3,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,5,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,3,
2,1,1,1,1,,,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,,,,,,,,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,3,1,2,2,4,1,1,1,2,1,
2,2,1,3 1,1,1,1,1,1,1,1,1,1,1,
2,1,2,1,2,1,2,2,4,1,1,1,2,3,
2,2,2,1,1,1,2,3,3,1,1,1,1,1,
2,2,2,1,1,1,2,2,1,1,1,1,1,1,
2,1,2,1,1,1,1,,2,1,1,1,1,1,
2,1,2,,1,0,1,1,1,1,1,1,1,1,
2,2,3,3,1,0,1,1,1,1,1,1,1,1,
2,1,4,1,3,1,,1,1,1,1,1,1,1,
2,1,3,41,1,1,2,2,2,1,1,1,1,1,
2,1,2,3,1,1,,1,1,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,3,1,0,1,1,1,1,1,1,1,1,
2,2,2,3,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,2,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,,,1,1,1,1,1,1,
2,2,2,1,1,,2,2,3,1,1,1,1,1,
2,2,2,1,2,1,3,2,1,1,1,1,1,1,
3,2,4,1,2,1,3,3,1,1,1,1,2,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,0,1,2,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,1,2,1,2,1,1,1,1,1,
2,2,4,3,1,0,1,1,1,1,1,1,1,1,
2,1,3,,1,0,1,1,1,1,1,1,1,4,
2,2,4,1,1,1,1,2,1,1,1,1,1,3,
2,1,3,1,1,1,2,1,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,2,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,2,1,3,3,4,2,1,2,1,1,
2,1,2,2,1,1,1,1,3,1,1,1,1,2,
2,2,4,5   1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,1,2,2,1,1,1,1,1,
2,2,3,3,1,1,1,1,3,1,1,1,1,1,
2,1,3,1,2,1,2,2,3,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,,
3,2,3,2,1,1,,1,1,1,1,1,,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
3,1,4,1,1,1,2,1,1,1,1,1,1,1,
2,1,3,3,1,0,1,1,1,1,1,1,1,,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,1,2,1,2,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,3,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,4,3,1,1,1,1,1,1,1,1,1,1,
2,1,2,1,,0,,1,,1,1,1,1,4,
2,1,2,1,2,1,2,1,,2,2,1,2,1,
2,2,2,1,1,1,1,1,4,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,2,2,2,1,1,1,1,1,
2,2,2,1,1,1,2,1,,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,2,2,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,3,
2,2,2,3 1,1,1,,1,1,1,1,1,1,1,
2,1,2,1,1,1,2,1,1,1,1,1,1,1,
2,2,2,1,1,1,2,1,1,1,1,1,,1,
2,1,2,1,1,1,2,1,2,1,1,1,1,3,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,3,1,1,1,1,1,1,1,1,1,1,
2,1,2,3,1,0,1,1,1,1,1,1,1,3,
2,1,2,1,1,1,2,3,2,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,1,1,2,1,1,1,1,1,
2,1,2,1,1,0,1,1,2,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,1,2,1,1,1,1,1,1,1,
2,1,1,52  1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,1,,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,4,2,1,2,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,3,
2,2,1,1,1,1,2,1,2,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,2,1,1,1,1,1,1,1,
2,1,1,1,1,,1,1,1,1,1,1,1,4,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,2,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,1,2,1,1,1,1,1,1,1,
2,1,1,,1,1,1,1,1,1,1,1,1,1,
2,1,1,,1,1,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,1,1,2,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,3,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,2,1,1,1,1,1,
2,1,2,1,1,1,2,3,3,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,2,1,1,2,1,1,1,1,1,1,
2,2,2,1,3,1,2,1,4,1,1,1,1,1,
2,1,2,1,1,1,1,1,1,1,1,1,1,1,
2,2,4,3,1,1,1,1,3,1,1,1,1,1,
2,2,4,1,1,1,,1,3,1,1,1,1,1,
2,2,4,1,1,1,1,1,1,1,1,1,1,1,
2,1,4,1,3,1,2,2,2,1,1,1,1,1,
3,2,4,1,3,1,3,1,1,1,1,1,2,3,
2,2,4,1,1,1,2,1,3,1,1,1,1,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
3,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,1,4,1,2,1,2,1,2,1,1,1,1,1,
2,1,4,,1,0,1,1,1,1,1,1,1,1,
2,1,4,1,3,1,1,1,4,1,1,1,1,1,
2,2,4,1,1,1,3,1,1,1,1,1,1,1,
3,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,2,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,2,0,1,1,1,1,1,1,1,1,
2,1,4,1,1,1,,1,1,1,1,1,1,1,
3,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,1,1,2,2,1,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,3,1,0,1,1,1,1,1,1,1,1,
2,2,2,3 1,1,1,3,1,1,1,1,1,1,1,
2,2,4,5   1,3,1,1,1,4,1,1,1,1,2,
2,2,3,1,2,1,3,3,4,2,1,1,2,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,3 1,1,0,1,1,1,1,1,1,1,3,
2,2,3,1,2,1,3,,1,1,1,1,1,1,
2,2,3,4,1,0,1,1,1,1,1,1,1,1,
2,2,2,3,1,0,1,1,1,1,1,1,1,1,
2,,5,2,1,,2,2,3,2,2,,1,,
2,1,3,23,1,1,1,1,4,1,1,1,1,1,
2,2,3,1,2,1,2,2,2,1,1,1,1,2,
2,2,2,1,1,1,2,2,1,1,1,1,1,1,
2,1,2,5,1,1,,2,1,1,1,1,1,1,
2,1,2,1,1,1,1,1,1,1,1,1,1,1,
2,1,3,1,2,1,2,3,3,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
1,1,1,5,1,,1,1,1,1,1,1,1,1,
2,1,3,1,1,1,1,1,3,1,1,1,1,2,
2,2,4,3,2,1,3,,2,1,1,2,2,1,
2,1,2,3,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,1,1,1,2,1,1,1,1,3,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,1,1,2,2,1,1,1,1,1,
2,1,2,1,1,1,2,2,2,1,1,1,1,1,
2,1,2,1,1,1,2,1,1,1,1,1,1,1,
2,1,2,2,1,1,2,1,2,1,1,1,1,1,
2,1,2,,1,1,,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,2,2,1,1,1,1,1,1,
2,1,2,1,1,,,1,2,1,1,1,1,1,
2,2,2,1,2,1,2,2,1,1,1,1,1,1,
2,1,2,3,1,1,1,1,1,1,1,1,1,3,
2,2,2,3,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,2,2,2,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,3,
2,1,2,1,3,1,,3,4,2,1,1,2,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,2,0,1,1,1,1,1,1,1,3,
2,2,2,3,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,2,,,2,3,2,1,1,1,1,
2,1,2,1,1,0,1,2,1,1,1,1,1,1,
2,1,2,1,1,1,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,1,2,2,4,1,1,1,1,1,
2,1,2,1,1,,,1,1,1,1,1,1,4,
2,1,2,1,2,1,2,3,3,1,1,1,1,1,
2,1,2,1,1,1,,2,1,1,1,1,1,1,
2,1,2,1,1,1,2,1,2,1,1,1,1,1,
2,2,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,1,2,1,1,1,1,1,1,1,1,1,
2,2,2,1,1,1,2,2,3,1,1,1,1,1,
2,2,1,1,1,1,2,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,3,2,,,,,,,,,2,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,23,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,1,1,1,2,1,1,1,1,1,
2,1,1,,1,0,1,1,1,1,1,1,1,4,
2,2,1,1,2,1,2,1,3,1,1,1,1,1,
2,2,1,3,1,1,2,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,1,,1,1,1,1,1,1,1,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,1,3 1,1,1,2,2,2,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,1,1,,1,3,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,4,
2,2,1,1,1,1,2,1,1,1,1,1,1,1,
2,2,1,1,1,1,1,1,2,1,1,1,1,1,
2,2,3,1,2,1,2,2,2,1,1,1,,1,
2,2,4,1,1,1,1,1,1,1,1,1,1,1,
2,1,3,1,2,1,2,2,2,1,1,1,1,1,
2,2,3,1,1,1,2,2,1,1,1,1,1,1,
2,1,3,1,1,1,1,1,1,1,1,1,1,1,
2,1,3,1,2,1,2,1,4,1,1,1,1,1,
1,1,1,5,1,1,1,2,2,2,2,2,2,2,
2,2,4,1,3,,,1,1,1,1,1,1,1,
3,1,5,52341,3,1,,1,1,1,1,1,1,1,
2,2,1,3,1,1,2,1,1,1,1,1,1,1,
,2,1,,1,1,2,1,2,1,1,1,1,1,
2,2,1,3,1,1,2,1,1,1,1,1,1,1,
2,2,1,3 1,1,0,1,1,1,,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,3,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,1,,1,1,1,1,1,1,1,
2,1,1,,1,0,1,1,1,1,1,1,1,4,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,3,1,1,1,,2,1,1,1,1,1,
2,2,1,3,1,1,1,,,,,,,,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,1,1,1,1,1,1,1,1,3,
2,1,1,1,1,0,1,1,1,,1,1,1,1,
2,2,1,1,2,1,1,3,3,2,2,2,2,3,
2,1,1,5  4,1,0,1,1,1,1,1,1,1,1,
2,,1,1,1,0,1,1,1,1,1,1,1,2,
2,1,1,2,2,,2,1,,2,2,2,2,3,
1,2,3,3,1,1,,,1,2,1,2,1,2,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,4,
2,1,1,1,1,1,1,2,1,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,1,1,1,1,1,1,1,1,1,
2,1,3,3,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,2,1,3,2,1,1,1,1,1,4,
2,2,3,3,3,1,3,2,2,2,2,2,2,4,
3,1,4,1,1,0,1,2,1,1,1,1,1,3,
2,1,3,1,2,1,2,2,1,1,1,1,1,1,
2,1,3,1,1,1,2,1,1,1,1,1,1,1,
2,1,3,1,1,1,2,2,3,1,1,1,1,1,
2,1,3,1,1,1,2,2,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,5   1,1,1,2,2,1,1,1,1,1,1,
2,2,3,1,1,0,1,2,1,1,1,1,1,1,
2,2,3,1,1,1,2,1,3,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,1,3,1,1,1,2,1,1,1,1,1,1,1,
2,2,3,1,3,1,1,1,4,1,1,1,1,1,
2,1,3,1,3,1,3,2,4,1,1,1,1,1,
2,2,3,1,3,1,1,2,3,2,1,1,2,1,
2,1,3,3,1,0,1,1,1,2,1,1,2,1,
2,2,3,1,1,1,2,1,3,1,1,1,1,1,
2,2,2,1,1,1,2,1,2,1,1,1,1,1,
2,2,1,1,1,0,1,1,1,1,1,1,1,1,
2,2,2,2,1,0,1,1,1,1,1,1,1,1,
2,1,2,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,3,2,1,2,1,4,2,2,2,2,4,
2,1,2,1,1,1,2,2,1,1,1,1,1,1,
2,1,3,1,1,0,1,1,1,1,1,1,1,1,
2,2,1,3,1,1,,1,1,1,1,1,1,1,
2,1,1,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,1,2,1,2,2,3,1,1,1,2,3,
2,1,1,5   1,1,0,1,1,1,1,1,1,1,3,
2,1,2,1,3,1,2,3,1,2,1,1,2,1,
2,1,1,5 3,1,1,2,1,2,1,1,1,1,1,
3,2,4,3,1,1,1,1,1,1,1,1,1,1,
2,2,4,3,1,1,1,1,1,1,1,1,1,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,3,1,1,1,1,1,1,1,1,1,1,
2,2,4,5,2,1,,1,2,2,2,2,2,4,
3,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,1,4,1,1,1,,1,1,1,1,1,1,4,
2,1,3,2,2,,,2,,2,2,2,2,,
2,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,4,1,1,2,1,1,1,1,1,1,1,
2,1,4,1,1,1,2,1,1,1,1,1,1,1,
2,1,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,4,1,1,0,1,1,1,1,1,1,1,1,
2,2,3,1,1,0,1,1,1,1,1,1,1,1,
2,1,1,3,1,0,1,1,1,1,1,1,1,1,
2,1,1,3,1,0,1,1,1,1,1,1,1,4,
2,1,2,1,1,0,1,2,1,1,1,1,1,1,
2,1,2,1,1,1,,2,4,1,1,1,1,1,
